name,city,birthDate,deathDate,nationality,occupation
Henri Charles Guérard,Parijs,1846,1897,,prentmaker
Abraham Hogenberg,,1603,1658,,prentmaker
Ludwig Gottlieb Portman,Darmstadt,1772,1828,Germany,prentmaker
James W. Steel,Philadelphia,1799,1879,United_States,prentmaker
Pieter Jalhea Furnius,Luik,1540,1626,,prentmaker
Dirk Langendijk,Rotterdam,1748,1805,Netherlands,prentmaker
Jan Veenhuysen,,1625,1693,,prentmaker
Dominique Vivant Denon (baron),Châlon-sur-Saône,1747,1825,,prentmaker
Virgilius Solis,Neurenberg,1514,1562,,prentmaker
Anthony Oberman,Amsterdam,1781,1845,Netherlands,prentmaker
Pieter van der Meulen,Leeuwarden,1780,1858,Netherlands,prentmaker
Maria Vos,Amsterdam,1824,1906,Netherlands,prentmaker
Petrus Johannes Arendzen,Amsterdam,1846,1932,Netherlands,prentmaker
Jacob Houbraken,Dordrecht,1698,1780,Netherlands,prentmaker
Georg Friedrich Nuernberger,,1677,1721,,medailleur
Honoré Daumier,Marseille,1808,1879,France,schilder
Richard Earlom,Londen,1743,1822,,prentmaker
Jacobus Ludovicus Cornet,Leiden,1815,1882,Netherlands,prentmaker
Huib Luns,Parijs,1881,1942,,prentmaker
Chris Lebeau,Amsterdam,1878,1945,Netherlands,prentmaker
Giacomo Brogi,,1822,1881,,fotograaf
James Abbott McNeill Whistler,Lowell,1834,1903,,prentmaker
James John Waterhouse,,1842,1928,,fotograaf
Johann Christoph Sysang,Leipzig,1703,1757,Germany,prentmaker
Pierre Joseph Hubert Cuypers,Roermond,1827,1921,Netherlands,tekenaar
Pieter Barbiers (I),Amsterdam,1717,1780,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Richard de Saint-Non,Parijs,1727,1791,,prentmaker
Jan Frederik Christiaan Reckleben,Amsterdam,1819,1879,Netherlands,prentmaker
Christian Fritzsch,Saksen,1695,1769,,prentmaker
Guillaume Joseph Vertommen,Aarschot,1815,1863,Belgium,prentmaker
Félicien Rops,Namen (stad),1833,1898,,prentmaker
Jan Chalon,Amsterdam,1738,1795,Netherlands,prentmaker
Henri-Joseph Godin,Seraing,1747,1834,Belgium,prentmaker
Johannes Josephus Aarts,Den Haag,1871,1934,,prentmaker
Hendrik Schwegman,Haarlem,1761,1816,Netherlands,prentmaker
Hendrick Goltzius,Bracht,1558,1617,,prentmaker
Gesina ter Borch,Zwolle,1633,1690,Netherlands,tekenaar
Wenceslaus Hollar,Praag,1607,1677,,prentmaker
Erin Corr,Brussel (stad),1805,1862,,prentmaker
Célestin François Nanteuil,Rome,1813,1873,Italy,prentmaker
Jacques Callot,Nancy,1592,1635,,prentmaker
Georg Lichtensteger,Neurenberg,1700,1781,,prentmaker
Charles Turner,Woodstock,1773,1857,,prentmaker
Wenceslaus Hollar,Praag,1607,1677,,prentmaker
Jacob Matham,Haarlem,1571,1631,Netherlands,prentmaker
Gerrit Willem Dijsselhof,Zwollerkerspel,1866,1924,,prentmaker
Johannes Tavenraat,Rotterdam,1809,1881,Netherlands,prentmaker
Utagawa Kuniyoshi,Edo,1798,1861,Japan,prentmaker
Wilhelm Cornelis Bauer,Den Haag,1862,1904,,architect
Jan l'Admiral,Amsterdam,1699,1773,Netherlands,prentmaker
Reinier Nooms,Amsterdam,1624,1664,Netherlands,prentmaker
Hubert Quellinus,Antwerpen (stad),1619,1687,,prentmaker
Claude Mellan,Abbeville,1598,1688,France,prentmaker
