name,city,birthDate,deathDate,nationality,occupation
Paulus van Liender,Utrecht,1731,1797,Netherlands,prentmaker
Nicolas Dufour,Abbeville,1725,1818,France,prentmaker
August Allebé,Amsterdam,1838,1927,Netherlands,prentmaker
Johannes Tavenraat,Rotterdam,1809,1881,Netherlands,prentmaker
Leendert Springer (I),Leiden,1789,1871,Netherlands,schilder
Abraham Genoels,Antwerpen (stad),1640,1723,,prentmaker
Christiaan Josi,Utrecht,1768,1828,Netherlands,prentmaker
Esaias van de Velde,Amsterdam,1587,1630,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
John Smith (prentmaker/ uitgever),Daventry,1664,1743,England,prentmaker
David van der Kellen (1804-1879),Amsterdam,1804,1879,Netherlands,prentmaker
Nicolas Pitau (I),Antwerpen (stad),1632,1671,,prentmaker
Jacob Houbraken,Dordrecht,1698,1780,Netherlands,prentmaker
Philippus Jacobus Brepols,Leuven,1778,1845,Belgium,drukker
Julie de Graag,Gorinchem,1877,1924,,prentmaker
Cornelis Cort,Edam,1533,1578,,prentmaker
Wallerant Vaillant,Lille,1623,1677,France,prentmaker
Edward Steichen,,1879,1973,,fotograaf
Carl Hermann Pfeiffer,Frankfurt am Main,1769,1829,,prentmaker
Joannes Bemme,Rotterdam,1775,1841,Netherlands,prentmaker
Jan Veth,Dordrecht,1864,1925,Netherlands,prentmaker
Cornelis Vreedenburgh,Woerden,1880,1946,Netherlands,prentmaker
James Dobie,Edinburgh,1849,1911,United_Kingdom,prentmaker
Jean Andrieu,Montaigu-de-Quercy,1816,1872,,fotograaf
François van Bleyswijck,Leiden,1671,1746,Netherlands,prentmaker
"Hiroshige (I) , Utagawa",,1797,1858,,prentmaker
Rembrandt van Rijn,Leiden,1606,1669,Netherlands,prentmaker
Georg Wolfgang Knorr,Neurenberg,1705,1761,,prentmaker
Frédérique Émile Auguste O'Connell-Miethe,Potsdam,1823,1885,Germany,prentmaker
Willem Springer jr.,Amsterdam,1815,1907,Netherlands,tekenaar
Anthonij van der Haer,Amsterdam,1730,1785,Netherlands,prentmaker
Jabes Heenck,Den Haag,1752,1782,,prentmaker
Anthonie van den Bos,Nijmegen,1763,1838,Netherlands,prentmaker
Isaac Weissenbruch,Den Haag,1826,1912,,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Adolf Carel Nunnink,Amsterdam,1813,1894,Netherlands,prentmaker
Antonio Tempesta,Florence,1555,1630,Italy,prentmaker
Anton Mauve,Zaandam,1838,1888,Netherlands,prentmaker
Carle Vernet,Bordeaux,1758,1836,France,prentmaker
Jean Louis Tirpenne,Hamburg,1801,1867,Germany,prentmaker
Onnes Kurkdjian,,1851,1903,,fotograaf
Jan Caspar Philips,Duitsland,1700,1775,,prentmaker
Johannes Wierix,Antwerpen (stad),1549,1618,,prentmaker
Ernst Ludwig Riepenhausen,Göttingen,1765,1840,Germany,prentmaker
Theodoor Schaepkens,Maastricht,1810,1883,Netherlands,prentmaker
Jan Willem Caspari,Amsterdam,1779,1822,Netherlands,prentmaker
August Weger,Neurenberg,1823,1892,,prentmaker
Michele Marieschi,Venetië,1696,1743,,prentmaker
Hubert Robert,Parijs,1733,1808,,prentmaker
Jan van Vianen,Amsterdam,1680,1726,Netherlands,prentmaker
Geldolph Adriaan Kessler,Batavia,1884,1945,,industrieel
Henry Pauw van Wieldrecht,Zeist,1863,1912,Netherlands,fotograaf
Pietro Sante Bartoli,Perugia (stad),1615,1700,Italy,prentmaker
Peter Dannoot,,1644,1692,,prentmaker
Lucas Kilian,Augsburg,1579,1637,Germany,prentmaker
Charles Nicolas Lemercier,Parijs,1797,1854,,prentmaker
Anselmus Boëtius de Boodt,Brugge,1550,1632,,arts
Israël Silvestre,Nancy,1621,1691,,prentmaker
Izaak Jansz. de Wit,Amsterdam,1744,1809,Netherlands,prentmaker
Anthonie Willem Hendrik Nolthenius de Man,Nijmegen,1793,1842,Netherlands,prentmaker
Jan Harmensz. Muller,Amsterdam,1571,1628,Netherlands,prentmaker
Daniel Nikolaus Chodowiecki,Danzig,1726,1801,,prentmaker
Jan van Londerseel,Antwerpen (stad),1575,1625,,prentmaker
Carol Popp de Szathmari,,1812,1887,,fotograaf
Cornelis de Bruyn,Den Haag,1652,1727,,tekenaar
Simon Fokke,Amsterdam,1712,1784,Netherlands,prentmaker
Eberhard Cornelis Rahms,Rotterdam,1823,1907,Netherlands,prentmaker
Marius Bauer,Den Haag,1867,1932,,prentmaker
Joseph Albert,München,1825,1886,,fotograaf
Thomas Annan,Dairsie,1829,1887,,fotograaf
Charles Heath (I),,1785,1848,,prentmaker
Neville Keasberry,Surabaya,1866,1944,Indonesia,fotograaf
Carleton Harlow Graves,,1867,1943,,fotograaf
Lucas Cranach (I),Kronach,1472,1553,Germany,prentmaker
Jacob de Gheyn (II),Antwerpen (stad),1565,1629,,schilder
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
François Chauveau,Parijs,1613,1676,,prentmaker
Andreas Schelfhout,Den Haag,1787,1870,,prentmaker
Robert Nanteuil,Reims,1623,1678,France,prentmaker
Dirk Jurriaan Sluyter,Amsterdam,1811,1886,Netherlands,prentmaker
Willem Frederik Piek Jr.,Amsterdam,1874,1954,Netherlands,fotograaf
Nicolas Beatrizet,Lunéville,1515,1565,France,prentmaker
Anton Mauve,Zaandam,1838,1888,Netherlands,prentmaker
Joos de Momper (II),Antwerpen (stad),1564,1635,,tekenaar
Isaac Israels,Amsterdam,1865,1934,Netherlands,prentmaker
Anthonie de Winter,Utrecht,1653,1707,Netherlands,prentmaker
Diederik Jan Singendonck,Nederlangbroek,1784,1833,,prentmaker
Gabriel Blaise,Parijs,1827,1897,,drukker
Patricq Kroon,Voorst,1862,1941,Netherlands,tekenaar
Edward Goodall,Leeds,1795,1870,United_Kingdom,prentmaker
Abraham Veelwaard,Amsterdam,1792,1873,Netherlands,prentmaker
Gerardus Emaus de Micault,Dordrecht,1798,1863,Netherlands,prentmaker
Giovanni Benedetto Castiglione,Genua,1610,1665,,prentmaker
Peter Henry Emerson,Cuba,1856,1936,,fotograaf
Johann Sadeler (I),Brussel (stad),1550,1600,,prentmaker
Petrus Regout,,1801,1879,,plateelbakker
Hugues Krafft,,1853,1935,,schrijver
Willem de Gier,Zaltbommel,1811,1890,Netherlands,prentmaker
Simon Charles Miger,Nemours,1736,1820,France,prentmaker
Isaac Weissenbruch,Den Haag,1826,1912,,prentmaker
Caspar Merian,Frankfurt am Main,1627,1689,,prentmaker
Henri de Louw,Den Haag,1851,1944,,fotograaf
Kōzaburō Tamamura,,1856,1923,,fotograaf
Hermann Eichens,Berlijn,1813,1886,,prentmaker
Paulus Lauters,Brussel (stad),1806,1875,,prentmaker
