title,url,material,colors,dimensions,artist
"Dorpsgezicht te Till en het Tiller Huis, 1746",https://lh3.googleusercontent.com/XXH9k79M4Pned9P8CrlWWtZ5ubn3Gk7Jhf0VytJX_kY2rC0kXKWbMVXDS0TRZ1Fdq5BuLTouLYTtJdmLnNNV6e49MHwLCCl7NDbhgJU=s0,papier,"[{'percentage': 79, 'hex': '#FBF6E1'}, {'percentage': 15, 'hex': ' #737C84'}, {'percentage': 5, 'hex': ' #2F4F4F'}, {'percentage': 0, 'hex': ' #000000'}]",201 x 146,Paulus van Liender
Zicht op de Maas,https://lh3.googleusercontent.com/YKdSrdcPPpeswOWlWVjzlmJB1Xfq0AOK5pxax8S1_Ei2kJxCN1oNJQhXrtgfkNjCD-qmXUew3nHzu4WErB5NMlX-uWl4AxZvWEC9gGI=s0,papier,[],250 x 361,Nicolas Dufour
Gedenkplaat bij de novemberfeesten in 1863,https://lh3.googleusercontent.com/BQr3Rx9mhphjFPjTssgYS4Mm9785eknL4LFGMbg1bAKDRNhA-rBaSz7nhJtGI2quAnRajR1yv3O_OMmMeIn6J6i-30radw93VwSIu5SI=s0,papier,[],572 x 712,August Allebé
Beschrijving van de watervallen in Krimml,https://lh3.googleusercontent.com/a79bhullo8dk6d-WHKnsnRAlB87xdUW0DEkMFSgK28PsofNUsCaFLnJ1nH0RFLYa0CkC-p6UQO1rYN9oWkVb241Wvps=s0,papier,[],572 x 712,Johannes Tavenraat
Markt van Petit Goâve op Haïti,https://lh3.googleusercontent.com/MuBg-RcPf-E4XsByVqm11lpjcLHIzJPIGHQJmeDSjJ2LFur7Xs42vuNsJ3xkGMudm4jcUFR0jnbm7MRflCA6JAp_iQ=s0,fotodrager,[],65 x 109,Andries Augustus Boom
Portret van Johannes Clarisse,https://lh3.googleusercontent.com/egoVU3F-eeANY_C5kqj6wr5e51SgeDHX_awuhMJ0HNG5wyHnIXOj0HX4BR4eojAO2HpQdjWpeOwRm6HtsW45gmSBfCul_84Tj5NDkx2R=s0,papier,[],540 x 364,Leendert Springer (I)
"Slag bij Landen, 1693",https://lh3.ggpht.com/L5f1qPrmx9p_hOqJYRKY7wq7E4Zr7y8P9RWhrQl-Fq7DHVqtIcFS5NNQvwCKcbpkouu0WTmchwwbZ3UOiQ-6Rz56=s0,papier,"[{'percentage': 89, 'hex': '#FBF6E1'}, {'percentage': 4, 'hex': ' #737C84'}, {'percentage': 4, 'hex': ' #E0CC91'}, {'percentage': 0, 'hex': ' #2F4F4F'}]",189 x 265,anoniem
Landschap met graftombe,https://lh6.ggpht.com/MeSFAHtzqEsHgnByn1nM6UbnyvuxTAaHg2J4pU6toenbVb7A5ZO2CSU-US0opEKr1eWNcHvs9lTH8vrE1cszPx6qTUQ=s0,papier,"[{'percentage': 57, 'hex': '#FBF6E1'}, {'percentage': 27, 'hex': ' #737C84'}, {'percentage': 15, 'hex': ' #E0CC91'}]",77 x 55,Abraham Genoels
Reproductie van een schilderij van een lezende vrouw door Edouard Dubufe,https://lh3.googleusercontent.com/-sOtA1mhrveoWpSI6rMQoEzf1vi2CD9ea3j14O3AhuoyYIX9JF2xlkYP4j-f1XF1xxjhJaqlTs3cq4H6HgMlqIOP_gY2HCCKKcrtY_4=s0,papier,[],245 x 177,Goupil & Cie.
Portret van Godfried Schalcken bij kaarslicht,https://lh3.googleusercontent.com/J1Fkx6RYX7-3FiKQpv6z6ferjx6BqhlEkidC6F0dsOTqgvhwUlvx08J4-ezElF2Wj4Qtx9lZ6ur0pWxkOomlFVjrJOE=s0,papier,[],228 x 179,Christiaan Josi
